S0	friends atdinner
S673	A yellow tent in front of a horse in it's pasture.
S674	Small personal tent with horse in background standing in grassy field.
S675	A close-up of a brown horse's head.
S676	A close-up view of a horse's head.
S677	A side view of a horse's head.
S678	Horse with halter on tied to the wall.
S679	Profile of a horse's halter in a stall.
S680	A close up of a horse wearing a blue halter.
S681	An upclose shot of a horse in the barn.
S682	An up close view of a horse.
S683	Close up of a brown horse with a blue halter.
S684	Up close view of horse with halter attached to face.
S685	A close-up view of a little girl riding a horse.
S686	a little girl is riding a white and grey horse
S687	A young blonde girl in riding gear sits on top of a gray and white horse.
S688	A young girl riding a white and grey horse.
S689	Young girl in riding gear on a horse.
S690	A group of horses grazing in a field.
S691	Group of horses grazing in grassy field.
S692	Horses graze in the pasture.
S693	Seven brown horses graze in a field in front of the trees.
S694	Seven brown horses grazing in the field.
S695	A father and a daughter looking at a pony through a chain link fence
S696	A man and child admire a horse.
S697	A man and child looks at a horse through a wired fence.
S698	A man holding a small child looking at a pony.
S699	A man holding a small child stands near a donkey in a pen.
S700	A woman wearing shorts and a desktop poses on the hood of a white car.
S701	A woman wearing shorts on top of a white car.
S702	A women sits on the hood of a white car parked next to a house.
S703	Girl on hood of white car
S704	There is a women sitting on the hood of a white car with a bathing suit on.
S705	A man on a motorcycle performing a wheelie.
S706	A man riding a motorbike on its backwheel while standing up.
S707	A shot from a car of a person doing a wheelie on a motorcycle.
S708	Motorcyclist performing a wheelie next to a car.
S709	Someone on a motorcycle doing a wheelie, as seen from a car window.
S710	A red car sits atop a semi on the set of a stunt show.
S711	a small red car atop a large white truck
S712	A small red car on top of a semi truck.
S713	A white semi with a red car on top being filmed in a stunt show.
S714	Red sports car on top of white semi truck.
S715	A man riding a dirt bike over a ridge.
S716	A professional motorbike riding in a professional stadium.
S717	A rider on a dirt bike.
S718	Blue motorcycle rider roaming a dirt ramp in front of fans.
S719	The man wearing a blue jumpsuit riding a dirt bike tops the dirt hill.
S720	A group of African men, women and children around three scooters.
S721	A group of black people in front of a building with a moped.
S722	A group of people are gathered outside.
S723	A group of people are outside a decrepit building.
S724	Group of african people in front of building.
S725	A close-up of bright colored houses.
S726	A line of closely packed buildings.
S727	Alleyway with blue doors into building.
S728	A view of buildings with various different colors alongside each other.
S729	Brick, turquoise, and blue exteriors of buildings on a street.
S730	A banner that says, "Borkop Rocker" hangs over the sidewalk entry to the parking lot of a many-windowed building.
S731	A banner tied to a lamp and a tree.
S732	A building with a temporary sign over the entrance to its parking lot.
S733	Outdoors at some ruffian building
S734	White banner hanging over driveway.
S735	A parked yellow motorbike.
S736	A yellow motorcycle
S737	A yellow motorcycle is parked on the street.
S738	A yellow streetwise, parked with a helmet.
S739	The yellow motorcycle is parked on the street.
S740	A family preparing to ride dirt bikes.
S741	A man and a child on a green dirt bike and a couple getting on a blue dirt bike
S742	A man and a woman beside a blue motor bike and two people on a green motor bike.
S743	Four people and two motorcycles on a sunny day.
S744	Two couples and two dirt bikes
S745	A motorcycle and rider in a large field.
S746	Individual in a red helmet on a motorbike in a green field underneath a blue sky.
S747	Man on a motorcycle in the woods
S748	Off road motorcycle riding in't only in the dirt!
S749	White motorcycle with a person with a red helmet riding
S750	An orange Moped
S751	An orange scooter is parked with its kickstand down on the cement.
S752	A vintage looking orange motor scooter with kick stand extended.
S753	Orange scooter parked with kickstand out on concrete.
S754	Yellow scooter parked in an alley way.
S755	A blue, tan, and black leather sofa on the sidewalk between bicycles.
S756	An orange and white couch on the street next to marked bicycles.
S757	A sofa parked between two bicycles and a scooter.
S758	Bicycles and a moped are parked near a loveseat.
S759	Tan and gray couch outside next to bicycles.
S760	A black jacket is lying on the ground in front of a yellow motorcycle.
S761	A black jacket sits on the driveway next to a yellow motorcycle.
S762	A motorcycle parked in a driveway next to a coat.
S763	a yellow classic motorcycle and riding gear on the ground in front of it
S764	Yellow and black motorcycle parked on driveway.
S765	A girl wearing shorts and a tank top on a red and gray moped.
S766	A girl wearing shorts and sitting on a motor scooter.
S767	A lady wearing a red helmet pauses on a scooter.
S768	A woman posing on a red scooter.
S769	The woman is sitting on the red motorcycle.
S770	A man is riding a red motorcycle on the road.
S771	A man is riding his motorcycle.
S772	A motion shot of a man riding a motorcycle.
S773	An African-American man driving a red motorcycle.
S774	The man is riding a motorcycle down the road.
S775	A bicycle in front of some ruins.
S776	A blue bicycle parked at the bottom of the stairs.
S777	A moped in front of ruins.
S778	A moped in front of steps of ruins
S779	An outdoor brick building with lots of stairs and a bicycle in front.
S780	A crowded street with people on motorcycles
S781	People on motorbikes in a city street.
S782	People ride mopeds in an urban setting.
S783	People ride scooters on a busy side street.
S784	Several people on motorcycles in a market square.
S785	A helmet is on a parked motorcycle, next to another parked motorcycle.
S786	A moped parked with other mopeds.
S787	Three mopeds parked next to each other.
S788	Three white scooters parked in a garage.
S789	Two motorcycles, one with a helmet on top, are parked next to a scooter in the garage.
S790	A heavy traffic scene with many cars and motorcycles.
S791	A street crowded with traffic with three motorbike in front.
S792	Several motorcyclists weaving in and out of traffic.
S793	Three motorcycles in traffic.
S794	Three motorcyclists are on a busy street.
S795	Four bikers are riding on a dirt hill.
S796	four motorbikes competing in the dirt
S797	Four people race through the dirt on BMX bikes.
S798	Four people racing motor bikes.
S799	Group of four dirt bikers riding down dirt trail.
S800	A man does a trick by standing on the seat of a moving motorcycle.
S801	A man standing on the seat of a motorcycle and doing a wheelie.
S802	A motorbike being ridden on its back wheel with the rider standing on the seat.
S803	A person on a motorcycle is standing on the seat doing tricks.
S804	A person stands on the motorcycle seat and pops a wheelie.
S805	A customer inspects a new scooter.
S806	A man sits on a small yellow scooter.
S807	A man with tattooed arms sitting on a yellow scooter.
S808	A tattooed man sits on a yellow scooter as another man watches.
S809	Guy sitting on and checking out a yellow and black motorbike.
S810	A blue moped parked on the sidewalk.
S811	A blue motorcycle is parked on a sidewalk.
S812	A blue motorcycle is parked on the sidewalk.
S813	A blue scooter parked on a sidewalk.
S814	A Vespa is parked at a bike rack with ice at its base.
S815	A red moped is parked by a building with graffiti.
S816	A red moped parked on a sidewalk in front of graffiti.
S817	A red scooter is parked near the door step.
S818	Graffiti and a red scooter in an urban area.
S819	The red scooter is sitting on the street in front of the building.
S820	A grey haired man inspects a red Suzuki motorcycle.
S821	A man inspects a red motorbike.
S822	A man looking at a red motorcycle.
S823	Man inspecting motorcycle.
S824	Older gentleman looking at red motorcycle.
S825	A close-up of a woman with black boots next to a blue motorcycle.
S826	A girl posting beside a blue motorcycle.
S827	A girl standing beside a blue motor bike.
S828	A girl wearing black shorts and boots is standing next to a blue motorcycle.
S829	A women in black and white laughs while standing next to a parked blue motorbike.
S830	A close up of the front end of a purple and white motor cycle.
S831	A close-up picture of a white and purple motorcycle.
S832	Close up of the handlebars of a purple and white motorbike.
S833	Shot from the top of a custom motorcycle's gas tank, handlebars, and front wheel.
S834	The front of a white and purple motorcycle.
S835	A man sitting on a porch with two motor scooters parked outside.
S836	A man with his cheeks pushed out and two scooters to the left.
S837	A young man holding his breath.
S838	A young man puffs out his cheeks in an outdoor cafe.
S839	A young man with a silly look on his face.
S840	A helmet wearing motorcycle stuntman performs for a crowd.
S841	A man performing a trick on his motorcycle in front of a crowd.
S842	A man standing on the seat of a motorbike that is being ridden on its back wheel.
S843	A man wearing a helmet does a wheelie on a motorcycle as a crowd watches.
S844	Young man wearing jeans and helmet rides his motorcycle in front of a small crowd.
S845	A man stands beside a person on a black motorcycle in a parking lot.
S846	A man stands next to a helmeted man on a motorcycle in an empty parking lot.
S847	A motorbike with rider parked up in a car park with a man standing by.
S848	A person sitting on a motorcycle while a man stands by.
S849	A person wearing a red helmet is sitting on a motorcycle, with a man standing beside the motorcycle.
S850	A black and white photo of a motorcycle laying on the ground.
S851	A motorcycle is lying on the road.
S852	Motorbike with basket on back.
S853	This is a black and white photograph of a motorcycle in a parking lot.
S854	This is a cool motorcycle!
S855	A man in jeans and a black t-shirt sits astride a motorcycle.
S856	A man on a black motorcycle.
S857	A man on a black motorcycle looking left.
S858	A man rides a large black motorbike.
S859	Man sitting on motorcycle in parking lot.
S860	Two dirt bikers riding over dirt hill.
S861	two motorbikes on a dirt track
S862	Two motorbikes racing on a dirt course.
S863	Two people dirtbiking on a dirt track.
S864	Two people ride on a dirt bike path.
S865	A motorcycle parked next to a car.
S866	A silver and blue motorcycle sitting next to a car.
S867	A silver motorbike parked next to a car on the side of the road.
S868	Motorcycle in parking lot next to vehicle.
S869	Motorcycle parked next to a car outside.
S870	A moped is parked at a metal bike rack in front of a chain link fence in an urban area.
S871	A parked motor scooter beside the fence.
S872	A scooter parked near a fence.
S873	Night shot of a scooter parked next to two bike racks.
S874	Scooter parked by a fence
S875	A blue moped parked near a graffiti covered while alongside a dog laying down.
S876	A dog laying down looking at a motorcycle parked beside him.
S877	A moped is parked on a path near where a dog lies on a stone platform.
S878	A tan dog rests on a concrete pedestal near a parked motorcycle and a wall with graffiti.
S879	The brown dog is sitting next to a wall covered in graffiti and a motorcycle.
S880	A motocross rider and bike flying over a dirt track.
S881	A person jumping a motorbike in the air.
S882	Person in midair on motorbike.
S883	The dirt bike rider wearing a red helmet jumps high into the air as a man looks on.
S884	The motorcyclist is urban during the race.
S885	A couple posing on a red and yellow motorcycle.
S886	Two brunette girls sit atop a red an yellow motorcycle with a side car.
S887	Two people sitting on a large motorcycle.
S888	Two women are seated on a red and yellow motorbike with a side car.
S889	two women posing on a yellow and red motorcycle and a sidecar
S890	A man is making a jump on a bicycle.
S891	A man jumping his dirt bike.
S892	A man on a bike jumping through the air.
S893	A man on a dirt bike is on a tree stump.
S894	A mountain bike and rider riding through woods.
S895	A BMW motorcycle parked between two cars.
S896	A red and black motorbike with a hind basket parked between two cars.
S897	A red motorbike with basket attached parked between cars.
S898	Motorcycle with basket on back end.
S899	Red BWM bike parked
S900	A row of brightly colored motorcycles.
S901	A row of motorcycles is parked outside of a row of stores.
S902	A row of parked motorbikes.
S903	Brightly colored motorcycles are parked in a line.
S904	Motorcycles parked in town with men gathered together in the background
S905	Several people riding dirt bikes with number plates on the bikes.
S906	The elder rider looks to make his move on the leader.
S907	Three men in helmets race motorcycles on a dirt track.
S908	Two men ride motocross bikes
S909	Two people wearing helmets ride dirt bikes.
S910	A motocross rider about to get back on his stunt bike.
S911	A motorbike kicking up dust with the rider holding the handlebar while standing to the side.
S912	A motor-cross rider trying to catch his bike.
S913	A person in a helmet and race jacket is running after a riderless, running motorcycle.
S914	A person wearing a helmet is by a moving motorbike.
S915	Motorcycles withjackets
S916	Parked motorcycles resting between rides.
S917	Two bikes parked next to each other alongside a road.
S918	Two motorcycles covered with jackets are parked near a stop sign.
S919	two motorcycles with jackets on them
S920	A motorcycle and passenger car on a dirt trail.
S921	Black motorcycle on bike path in forest.
S922	Motorcycle in the woods
S923	Motorcycle with a sidecar parked on a dirt road.
S924	The antique side car travels through the country.
S925	African man on blue bike posing with 2 friends.
S926	A man sitting on a blue motorcycle with two men beside him.
S927	Three men pose with a blue motorcycle.
S928	Three men posing with a blue motorcycle.
S929	Two guys standing next to a person on a blue motorcycle with a truck in the background.
S930	A motorcycle rider rides splashes mud.
S931	A person riding a dirt bike is covered in mud.
S932	Motor cross racer number 984 speeding through the mud.
S933	Person in a dirt bike race.
S934	The person in the center is wearing a helmet and riding a dirt bike, with another person partially visible behind and a third dirt bike partially visible to the right.
S935	A row of motorbikes parked in front of a store.
S936	Several motorcycles parked in front of restaurant.
S937	Three motorcycles are line up outside a restaurant.
S938	Three motorcycles are parked in front of an open business.
S939	Three motorcycles parked in front of a building.
S940	A black motorbike parked in front of a city wall painting.
S941	a motorbike parked in front of a city like painted wall
S942	A motorcycle is parked by a mural of a city in the evening.
S943	A motorcycles is parked near a wall covered with a graffiti scene of a cityscape.
S944	A small motorcycle is parked against a painting of a cityscape.
S945	A dirt bike rider riding around a track.
S946	A motocross racer wearing blue and red protective gear.
S947	An action snapshot of a dirt bike in motion
S948	A person is riding a motorcycle professionally in a race.
S949	BMX rider racing down dirt track.
S950	a close up of a man on a passenger plane
S951	A man on a plane is smiling and looks surprised.
S952	A wide-eyed blonde man sits in an airplane next to an Asian man.
S953	Two men on a plane, the closer one with a suspicious look on his face.
S954	Up close photo of man with short blonde hair on airplane.
S955	A dark haired woman with green eyes and a blue sweater is smiling.
S956	Close up head shot of a woman.
S957	Close up of a brunette woman with brown eyes in a gray shirt.
S958	The smiling lady takes a picture of herself.
S959	Woman with brown hair smiling.
S960	A baby is sitting in the grass.
S961	A baby with blonde hair wearing lavender and a bib is sitting in the grass and looking down.
S962	A small blonde child wearing a bib and a purple outfit sits in the grass.
S963	Baby in pink outfit sitting on grass looking down.
S964	Baby sitting in grass wearing a bib.
S965	A woman holding a baby wearing a yellow hat.
S966	A woman poses with a baby.
S967	A woman with her child.
S968	A women holding a small baby with a selection of bags behind.
S969	A young mother is holding her baby.
S970	A person jumping a dirt bike with a boy watching.
S971	A person riding a dirt bike while a boy looks on.
S972	A person riding a motorbike while another man watches.
S973	Rider on red dirt bike coming over hill.
S974	Two young boys practice riding motorcycles in the country.
S975	A guy in a sports jersey poses with a girl in a kitchen.
S976	A happy couple
S977	A man and women smiling at the camera while standing in a kitchen.
S978	A man wearing a Chicago Bears jersey poses for a picture with a woman.
S979	Couple posing together in kitchen.
S980	A man driving an orange scooter through a tunnel.
S981	A man riding a moped though a tunnel reaches back to a drinks bottle.
S982	A man riding on a motorcycle in a tunnel.
S983	A motorcycle rider reaches for a bottle while riding through a tunnel.
S984	This is a shot from behind of a person on an orange scooter going through a tunnel.
S985	A man is smiling in a garden
S986	A man kneeling down in front of a yellow flower and a fence.
S987	A man sitting in a garden
S988	Man posing in backyard in front of sunflower.
S989	The man is posing with a sunflower.
S990	Two men paddle a red kayak.
S991	Two people in a red canoe on a clear lake.
S992	Two people on a lake in a red canoe rowing.
S993	Two people paddling a red canoe are reflected in the still water.
S994	Two people paddling in a red canoe with trees in the background.
S995	A female child in a pink skirt and pink and white shirt is riding a toy that looks like a duck.
S996	A girl sitting on a large yellow duck.
S997	a little girls is happy, riding a toy duck
S998	A young girl smiles while riding a duck.
S999	Young girl sitting on yellow duck statue.
S1000	A group of friends pose with furry hats.
S1001	A group of people, four of which are women, two of which are men, pose wearing fuzzy hats with earflaps.
S1002	A group of peoples posing in fur hats.
S1003	Group of teenagers being silly.
S1004	Visitors pose wearing fur hats.
S1005	A woman and child push strollers down the sidewalk.
S1006	A woman pushes a cart and a young girl pushes a buggy down a sidewalk.
S1007	A women and a young girl walking pushchairs along the sidewalk.
S1008	Mother and daughter walking down sidewalk pushing strollers.
S1009	Rose colored photograph of mother walking down a road with a stroller and small girl.
S1010	A woman in a t-shirt chops mushrooms.
S1011	A woman wearing an over-sized grey Celtic T-shirt and no pants is cutting something in the kitchen.
S1012	A women in a grey t-shirt cutting potatoes in a kitchen.
S1013	Woman in t-shirt dicing food with large knife.
S1014	Woman with no pants and a knife
S1015	A person in a red cap standing next to a brick support beam.
S1016	a woman is standing by a pillar where "u2" is written
S1017	A woman posing by a pillar with a U2 sign.
S1018	A woman wearing winter clothing stands beside a blue post marked "U2."
S1019	Person in winter clothing standing beside a cracked wall.
S1020	A guy is having a drink and smiling, and another guy is looking at him while laughing
S1021	A man drinking beer while another man looks at him.
S1022	The taller boy is red-faced and laughing, while his friend is about to drink something in a clear cup.
S1023	Two men smiling with one of them drinking a beer.
S1024	Two young men drinking alcohol and laughing.
S1025	A girl wearing black.
S1026	a stretched close-up of a girl in black
S1027	A woman taking her own photo from above.
S1028	A young woman dressed in black.
S1029	Close up photo of a brunette wearing a serious expression.
S1030	A lady and two children look at papers.
S1031	An Asian lady with a boy a girl reading a newspaper.
S1032	Asian and two children poring over a paper.
S1033	A woman and two children are looking at a piece of paper.
S1034	Two children and a woman look at a sheet of paper.
S1035	A group of children jump on the beach.
S1036	A row of children on a beach jumping in the air.
S1037	Children at the seashore are jumping into the air.
S1038	Six people jump in the air above a sandy beach.
S1039	These teenagers jumped into the air simultaneously for this fun beach photo.
S1040	Four people are behind a table.
S1041	Three middle-aged women and a man sit at a patio table with a bottle of wine.
S1042	Three women drinking wine on a patio with a man, in a city.
S1043	Three women drinking wine while a man looks on.
S1044	Two women sitting around a table drinking wine while others watch.
S1045	A closeup headshot of two women with one sticking out her tongue.
S1046	A woman in a gray shirt smiles for the camera while the woman behind her makes a face.
S1047	A woman with a surprised look on her face is holding a smiling woman from behind.
S1048	Two women make faces at the camera.
S1049	Two women posing for the camera with the women behind pulling a face.
S1050	An indian family of four stands on the shoreline.
S1051	The women and children sand near the sandy beach.
S1052	Two Indian woman stand with two Indian girls on a beach.
S1053	Two Indian women with two Indian girls near the water.
S1054	Two women and their children at the beach.
S1055	A girl in a plaid coat takes a photo of herself in a mirror by a staircase, holding a red bag.
S1056	A girl with a red bag standing on the street.
S1057	A woman looks to take a photo.
S1058	A women with a red bag takes a picture of herself in a mirror.
S1059	Young woman with red bag holding camera.
S1060	Two girls posing in front of a waterfall.
S1061	Two girls posing on a boat by the ocean.
S1062	Two women are posing in front of a fountain
S1063	Two women in front of a waterfall with a crowd behind them.
S1064	Two women posing for the camera, while others on the boat talk and enjoy the view.
S1065	A little girl in a pink and white floral dress.
S1066	A little girl in a pink dress.
S1067	A small child in a pink dress sits on a table.
S1068	A young girl in a lavender frock sits on a wooden table.
S1069	Little girl in pink dress.
S1070	A close-up of two women posing with their thumbs up.
S1071	One Asian and one occasion woman in glasses smiling with their thumbs up.
S1072	Two smiling young women giving a thumbs up.
S1073	Two smiling young women giving the thumbs up sign.
S1074	Two women are posing for the camera and giving the thumbs up sign.
S1075	A female child with dark brown hair is smiling at the camera.
S1076	a little girl is laughing at the camera
S1077	A small child smiling at the camera.
S1078	A young child in a floral shirt smiles.
S1079	Young girl smiling in a white shirt.
S1080	Two women in a clothing store.
S1081	Two women in shorts shopping in a store.
S1082	Two women shopping.
S1083	Two women shopping at a clothing store
S1084	Two young women in a store with clothing hanging from the ceiling.
S1085	Children playing catch with baseball.
S1086	Two boys in baseball uniforms play catch with a baseball.
S1087	Two boys in gray uniforms throwing a baseball to each other.
S1088	Two boys, wearing baseball uniforms, are playing catch.
S1089	Two young boys wearing black and gray baseball uniforms playing catch.
S1090	an Asian woman sitting in a chair on her balcony
S1091	A woman smiling.
S1092	Smiling Asian woman in floral dress.
S1093	The happy lady enjoys her surroundings.
S1094	The woman in the floral dress is posing among plants.
S1095	A small boy with curly black hair sits at a table to color.
S1096	A small child looks at the camera with crayons in its hands.
S1097	A young boy coloring with a red and blue crayon.
S1098	A young child scribbling with crayons.
S1099	The boy is playing with Crayolas.
S1100	A main standing under a road bridge.
S1101	A person is standing under a bypass in an empty parking lot.
S1102	A person is standing underneath an overpass near a highway.
S1103	A person walking beneath an underpass.
S1104	Underpass and road.
S1105	A group of girls are posing with two
S1106	A group of people standing with two other people dressed as Elvis.
S1107	Five women posing with two Elvis impersonators.
S1108	Group of people posing with two men dressed as Elvis.
S1109	The group of ladies take a photo with a couple of Elvis impersonators.
S1110	A holds closed the trunk of an orange car.
S1111	A man hanging on to the back of a car with an open trunk.
S1112	A man hangs off of the back of a car as it drives, standing on the bumper.
S1113	A man riding on the back of an orange SUV.
S1114	an African man hanging onto the back of a very full yellow van
S1115	A child in pajamas opens a wrapped gift in front of a Christmas tree.
S1116	A child opening presents on Christmas morning.
S1117	A little boy opens presents next to a tree on Christmas morning.
S1118	A red headed child in his pajamas opening christmas gifts.
S1119	Young boy with glasses and dressed in blue opening Christmas presents.
S1120	A city street with a bus stop sign.
S1121	A street view of urban buildings and a bus stop.
S1122	A street view with large buildings on either side near a bus stop.
S1123	Blue bus sign on the corner of a street in between rows of buildings.
S1124	Bus stop sign on a city street.
S1125	A girl wears a dark sweater and a statement necklace.
S1126	a woman with a big necklace
S1127	A young woman with a black top and a necklace.
S1128	Close up of a woman in a black blouse.
S1129	Portrait of a asian girl in black outfit with a large diamond necklace.
S1130	A woman in a black bikini top and jeans.
S1131	A woman wearing jeans, a dark bikini top, and a bracelet.
S1132	A women wearing a bikini top and jeans.
S1133	A young woman with a bracelet is wearing a bikini top and jeans.
S1134	Girl poses in bikini top and jeans.
S1135	A child sits in a large black leather chair.
S1136	A close-up of a girl in a pink and black dress in a black chair.
S1137	A young girl in a pink dress sits on a black chair.
S1138	A young girl in a pink dress sits on a black leather seat.
S1139	The girl is sitting on the leather chair.
S1140	A man is pushing his bike up a snowy incline.
S1141	A man posing with a mountain bike in the snow.
S1142	A man with his bike in the snow
S1143	Man holding bicycle on snowy incline.
S1144	Man with a bike standing in a tree covered wood.
S1145	A guy wearing a cap backwards and standing between two large Coca-Cola bottles that are taller than he is.
S1146	A long-haired man with a hat standing between two large, half-empty Coke bottles.
S1147	A man with a cap and jacket walking between two large bottles
S1148	A young tourist gets his photo taken in front of a Coca-Cola ad.
S1149	Man between two giant coke bottles
S1150	A man jogging in a race.
S1151	A man running a race down a street.
S1152	A man running down a street wearing the number 129.
S1153	A runner paces along the marathon path.
S1154	The man is running on the street.
S1155	A large white bus parked next to a blue truck with officers nearby.
S1156	Two NYPD officers wait next to an MTA bus at night time.
S1157	Two police officers standing behind a van with a bus in the background.
S1158	Two police officers standing in front of blue and white bus.
S1159	Two police officers standing next to bus and open van.
S1160	a man on a dirt bike jumping very high.
S1161	A man on a motorbike jumping with the sky behind him
S1162	A motocross bike with rider flying through the air.
S1163	Motocross rider in mid-air
S1164	Person on motorbike in midair at sunset.
S1165	A baby sits in a car seat looking upward
S1166	A baby strapped into a car seat.
S1167	A small baby is buckled into a plaid car seat.
S1168	A small baby sitting in a car seat.
S1169	A small infant dressed in yellow and white strapped into a car seat carrier.
S1170	A person on horseback rides in sand near a canyon.
S1171	A woman rides a horse in the desert.
S1172	A woman riding a horse in the desert.
S1173	Lady riding a brown horse in a single desolated desert on a bright, sunny day.
S1174	Take a solitude horse ride in the beautiful country.
S1175	A man is watching TV on the foot of his bed.
S1176	A man sits crossed legged on a bed watching a small TV.
S1177	A man sits on a bed very close to a small television.
S1178	a man sitting in bed in a yellow room watching a small TV
S1179	Lonely man watching TV alone
S1180	A group of people sitting on a small sofa next to a kitchen.
S1181	Five people gather together on a loveseat.
S1182	Five people sitting on one couch.
S1183	Group of five family members sitting on loveseat.
S1184	The family photo is taken near the kitchen.
S1185	A balding man in glasses and a yellow shirt behind two empty beverage bottles.
S1186	A bald man with glasses looks to the left.
S1187	A man talking with two water bottles sitting in front of him.
S1188	A man wearing glasses sits behind a pair of bottles.
S1189	A man with glasses and two plastic bottles in the foreground.
S1190	A black and white image of an old fashioned train in a station.
S1191	A black and white photo of an old train station.
S1192	A black and white scene of people boarding a train.
S1193	a steam train is stopped at a train station
S1194	A train is at a train station.
S1195	A group of people standing and sitting around a large circular table in a restaurant.
S1196	Eight people are at an Asian restaurant for dinner.
S1197	Eight people at a table at a restaurant.
S1198	People gather around a circular table.
S1199	The eight young people are posing at a restaurant.
S1200	A calico cat seated on the doorstep surrounded by bikes and junk.
S1201	A cat is sitting in between two bikes.
S1202	Calico cat sitting on step in front of a door.
S1203	Multi colored cat sitting on a step between two bicycles.
S1204	The cat is sitting between two bicycles in front of a door.
S1205	A line outside of a bookstore on a street.
S1206	A woman with a baby stroller and others at a bookstore.
S1207	Group of people walking into a book store.
S1208	People stand outside a bookstore.
S1209	Several people gather outside of a schoolbook store.
S1210	a close up of a small cactus in a pot
S1211	A close-up of three terra cotta pots with cacti growing in them.
S1212	A line of potted cactus plants.
S1213	A row of three potted cactus.
S1214	The trio of cactus take in some sun.
S1215	a girl and three tents are outside a house with a flag
S1216	A girl walking across a lawn with three tents and a flagpole.
S1217	A yard with three tents, a young girl and a flower planter.
S1218	A young girl stands in front of three tents in a yard.
S1219	Several tents set up on grass in backyard.
S1220	Two blue macaws sit on a perch in a lush green garden.
S1221	Two brightly colored parrots sitting on a fence.
S1222	Two colorful birds sitting on a tree branch.
S1223	two macaws sitting on a branch
S1224	Two parrots
S1225	A black and white cat gets into a basket of yarn.
S1226	A black and white cat is pawing at a pile of yarn on the floor.
S1227	A black and white cat playing with a blanket.
S1228	A black and white cat playing with a wool basket.
S1229	A black cat with white paws in a cluttered room.
S1230	An indoor plant in a yellow pot by a window.
S1231	A potted plant getting light from a window.
S1232	A potted plant in sunlight from a window.
S1233	A yellow plant pot with a green and white leafed plant.
S1234	There is a green plant in a white pot sitting on a brown table.
S1235	A small street in an urban area.
S1236	Long alleyway with several cars parked on the side.
S1237	Two cars are parked along a row of white buildings.
S1238	Two red cars on a deserted street.
S1239	Two red cars, one of them a Mini Cooper, park on a quiet side street.
S1240	A bride and groom along with other family members in a church.
S1241	A bride and groom pose with their family.
S1242	A wedding of a man and woman with their parents and siblings in a church.
S1243	Wedding photo of bride and groom with several other people.
S1244	Wedding photo on the alter.
S1245	A black dog approaches the potted plants in the foreground.
S1246	A large dog standing behind a series of empty plant pots.
S1247	A table with bowls and plants.
S1248	Dog starring at potted plants
S1249	The curious dog looks to do some damage to the pots.
S1250	A bird perched on a flowerpot.
S1251	A brown bird sits upon a clay pot amongst some flowers.
S1252	A close-up of a bird perched on a terra cotta flower pot.
S1253	Bird perched on a flowerpot beside a stucco wall.
S1254	The bird protects its new nest in the pot.
S1255	A beige living room has a chair, lamp, table, and other furniture.
S1256	A chair has a throw pillow on it
S1257	A comfortable looking sitting room with a lamp turned on.
S1258	A living room with table, chair and sofa alongside a large palm.
S1259	A room decorated with furniture and potted plants.
S1260	A little, dark-haired girl in a blue dress and boots sits on a concrete pedestal surrounded by plants and flowers.
S1261	An Asian toddler girl sits next to a pot of flowers on a marble post.
S1262	A small child sits on a cement wall near white flower.
S1263	A small girl sits on a stone ledge near a white flowering plant.
S1264	The girl is wearing a blue dress and is very young.
S1265	A man woman and teenage boy pose together inside.
S1266	A women, man and a boy smiling while looking at the camera.
S1267	A younger brother, sister and older brother in their home.
S1268	Photo of three young adults standing in a room.
S1269	Three people posing in front of a window.
S1270	A man in a black hat is sitting on a chair on a patio playing guitar.
S1271	A man playing the guitar is seated in the patio.
S1272	A man sitting in a back yard playing the guitar.
S1273	A musician sits on his patio playing his guitar.
S1274	Man playing guitar while sitting down.
S1275	A group of people stand by a body of water looking at a building.
S1276	A man with a small child and two other people looking at the water.
S1277	Feet standing on a pretty day with large building in background.
S1278	People await the next boat ride on the lake.
S1279	Several people standing at handling of small lake.
S1280	A black dog
S1281	A black dog laying on the grass next to a wooden structure.
S1282	A black dog lies on the grass.
S1283	A black dog sitting outside.
S1284	The black dog is lying in the grass.
S1285	A girl sitting in a living chair.
S1286	A girl with a backpack sits in a flower-pattered armchair in an office area.
S1287	An Asian woman sitting in a waiting area in an office.
S1288	A women sitting on a chair in a lobby area.
S1289	Young woman in glasses sitting.
S1290	A close-up of a plant in a terra cotta plant pot.
S1291	A lively looking green plant in a pot.
S1292	A potted plant is sitting on cement next to the grass.
S1293	Gree plant in red clay pot.
S1294	Some seedlings planted in a plant pot with grass behind.
S1295	A black and white photo of four people playing scrabble.
S1296	A family playing scrabble with an uncle around a kitchen table in black and white.
S1297	Black and white picture of a family playing Scrabble around a table.
S1298	This is a black and white photo of a family playing Scrabble.
S1299	Three elderly people and a young boy play scrabble.
S1300	A loft with a black bookcase beneath it.
S1301	An interior room with a shelf of books and decorative items below a loft area.
S1302	An open plan living area with a mezzanine level.
S1303	Black book shelf in a white room.
S1304	This is someone's living room and second-floor inside balcony.
S1305	a wild garden with two potted flowers
S1306	Lush plants grow in terra cotta pots and directly out of the ground.
S1307	There are several different colors of flowers and types of plants in this garden.
S1308	There are two flowerpots in the middle of the planted flowers on the ground.
S1309	Two potted plants are surrounded by a lovely green garden of varying plants and flowers.
S1310	a girl holding a black white dog with a blue dog chain
